"DATE_ON","DATE_OFF","ARTIST","TITLE"
"1946-10-13","1946-12-07","Frankie Carle","Rumors Are Flying"
"1946-12-08","1946-12-21","Kay Kyser","Ole Buttermilk Sky"
"1946-12-22","1947-02-08","Sammy Kaye","The Old Lamp-Lighter"
"1947-02-09","1947-02-15","Nat King Cole","(I Love You) For Sentimental Reasons"
"1947-02-16","1947-02-22","Count Basie","Open the Door, Richard"
"1947-02-23","1947-03-08","Freddy Martin","Managua, Nicaragua"
"1947-03-09","1947-05-31","Ted Weems","Heartaches"
"1947-06-01","1947-06-14","Art Lund","Mam'selle"
"1947-06-15","1947-06-21","Harmonicats","Peg O' My Heart"
"1947-06-22","1947-07-12","Perry Como","Chi-Baba, Chi-Baba (My Baby Go To Sleep)"
"1947-07-13","1947-08-02","Harmonicats","Peg O' My Heart"
"1947-08-03","1947-09-13","Tex Williams","Smoke! Smoke! Smoke! (That Cigarette)"
"1947-09-14","1947-12-06","Francis Craig","Near You"
"1947-12-07","1948-02-14","Vaughn Monroe","Ballerina"
"1947-12-07","1948-02-14","Vaughn Monroe","Ballerina"
"1948-02-15","1948-03-06","Art Mooney","I'm Looking Over A Four-Leaf Clover"
"1948-03-07","1948-05-08","Peggy Lee","Manana (Is Soon Enough For Me)"
"1948-05-09","1948-06-26","Nat King Cole","Nature Boy"
"1948-06-27","1948-08-07","Kay Kyser","Woody Woodpecker"
"1948-08-08","1948-08-21","Al Trace","You Call Everybody Darlin'"
"1948-08-22","1948-10-02","Pee Wee Hunt","Twelfth Street Rag"
"1948-10-03","1948-11-06","Margaret Whiting","A Tree In the Meadow"
"1948-10-17","1948-10-30","Pee Wee Hunt","Twelfth Street Rag"
"1948-10-31","1949-01-01","Dinah Shore","Buttons And Bows"
"1949-01-02","1949-01-08","Spike Jones","All I Want For Christmas (Is My Two Front Teeth)"
"1949-01-09","1949-01-15","Dinah Shore","Buttons And Bows"
"1949-01-16","1949-03-05","Evelyn Knight","A Little Bird Told Me"
"1949-03-06","1949-03-19","Blue Barron","Cruising Down the River"
"1949-03-20","1949-05-07","Russ Morgan","Cruising Down the River"
"1949-05-08","1949-07-23","Vaughn Monroe","(Ghost) Riders In the Sky: A Cowboy Legend"
"1949-07-24","1949-08-27","Perry Como","Some Enchanted Evening"
"1949-08-28","1949-09-24","Vic Damone","You're Breaking My Heart"
"1949-09-25","1949-11-19","Frankie Laine","That Lucky Old Sun"
"1949-11-20","1949-12-31","Frankie Laine","Mule Train"
"1950-01-01","1950-01-07","Gene Autry","Rudolph, the Red-Nosed Reindeer"
"1950-01-08","1950-02-04","Andrews Sisters","I Can Dream, Can't I?"
"1950-02-05","1950-02-11","Ames Brothers","Rag Mop"
"1950-02-12","1950-03-11","Red Foley","Chattanooga Shoe Shine Boy"
"1950-03-12","1950-04-08","Teresa Brewer","(Put Another Nickel In) Music, Music, Music"
"1950-04-09","1950-04-22","Eileen Barton","If I Knew You Were Coming I'd Have Baked A Cake"
"1950-04-23","1950-07-08","Anton Karas","The Third Man Theme"
"1950-07-09","1950-08-12","Nat King Cole","Mona Lisa"
"1950-08-13","1950-11-11","Weavers with Gordon Jenkins","Goodnight Irene"
"1950-11-12","1950-11-25","Sammy Kaye","Harbor Lights"
"1950-11-26","1950-12-23","Phil Harris","The Thing"
"1950-12-24","1951-02-24","Patti Page","Tennessee Waltz"
"1951-02-25","1951-03-03","Perry Como","If"
"1951-03-04","1951-03-10","Mario Lanza","Be My Love"
"1951-03-11","1951-04-14","Perry Como","If"
"1951-04-15","1951-06-16","Les Paul and Mary Ford","How High the Moon"
"1951-06-17","1951-07-21","Nat King Cole","Too Young"
"1951-07-22","1951-09-01","Rosemary Clooney","Come On-a My House"
"1951-09-02","1951-10-27","Tony Bennett","Because Of You"
"1951-10-28","1951-12-08","Tony Bennett","Cold Cold Heart"
"1951-12-09","1951-12-22","Eddy Howard","(It's No) Sin"
"1951-12-23","1952-03-08","Johnnie Ray","Cry"
"1952-03-09","1952-05-10","Kay Starr","Wheel of Fortune"
"1952-05-11","1952-06-14","Leroy Anderson","Blue Tango"
"1952-06-15","1952-06-28","Al Martino","Here in My Heart"
"1952-06-29","1952-07-05","Percy Faith","Delicado"
"1952-07-06","1952-09-06","Vera Lynn","Auf Weiderseh'n Sweetheart"
"1952-09-07","1952-10-11","Jo Stafford","You Belong To Me"
"1952-10-12","1952-11-15","Patti Page","I Went To Your Wedding"
"1952-11-16","1952-11-22","Johnny Standley","It's in the Book (Parts 1 and 2)"
"1952-11-23","1952-12-20","Joni James","Why Don't You Believe Me"
"1952-12-21","1953-01-03","Jimmy Boyd","I Saw Mommy Kissing Santa Claus"
"1953-01-04","1953-02-07","Perry Como","Don't Let the Stars Get In Your Eyes"
"1953-02-08","1953-03-14","Teresa Brewer","Till I Waltz Again With You"
"1953-03-15","1953-05-09","Patti Page","(How Much Is) That Doggie in the Window"
"1953-05-10","1953-07-18","Percy Faith","The Song from Moulin Rouge (Where Is Your Heart)"
"1953-07-19","1953-08-01","Eddie Fisher","I'm Walking Behind You"
"1953-08-02","1953-10-03","Les Paul and Mary Ford","Vaya Con Dios"
"1953-10-04","1953-10-31","Stan Freberg","St. George and the Dragonet"
"1953-11-01","1953-11-14","Les Paul and Mary Ford","Vaya Con Dios"
"1953-11-15","1953-12-26","Tony Bennett","Rags To Riches"
"1953-12-27","1954-02-20","Eddie Fisher","Oh! My Papa"
"1954-02-21","1954-03-06","Doris Day","Secret Love"
"1954-03-07","1954-03-13","Jo Stafford","Make Love To Me!"
"1954-03-14","1954-03-20","Doris Day","Secret Love"
"1954-03-21","1954-04-03","Jo Stafford","Make Love To Me!"
"1954-04-04","1954-05-29","Perry Como","Wanted"
"1954-05-30","1954-07-31","Kitty Kallen","Little Things Mean A Lot"
"1954-08-01","1954-09-18","Crew-Cuts","Sh-Boom"
"1954-09-19","1954-10-30","Rosemary Clooney","Hey There"
"1954-10-31","1954-11-06","Rosemary Clooney","This Ole House"
"1954-11-07","1954-11-27","Eddie Fisher","I Need You Now"
"1954-11-28","1955-01-15","Chordettes","Mister Sandman"
"1955-01-16","1955-01-29","Joan Weber","Let Me Go Lover"
"1955-01-30","1955-02-05","Fontane Sisters","Hearts Of Stone"
"1955-02-06","1955-03-19","McGuire Sisters","Sincerely"
"1955-03-20","1955-04-23","Bill Hayes","The Ballad of Davy Crockett"
"1955-04-24","1955-07-02","Perez Prado","Cherry Pink and Apple Blossom White"
"1955-07-03","1955-08-27","Bill Haley and His Comets","Rock Around the Clock"
"1955-08-28","1955-10-01","Mitch Miller","The Yellow Rose of Texas"
"1955-10-02","1955-10-08","Four Aces","Love Is A Many Splendered Thing"
"1955-10-09","1955-10-15","Mitch Miller","The Yellow Rose of Texas"
"1955-10-16","1955-10-22","Four Aces","Love Is A Many Splendered Thing"
"1955-10-23","1955-11-19","Roger Williams","Autumn Leaves"
"1955-11-20","1956-01-07","Tennessee Ernie Ford","Sixteen Tons"
"1956-01-08","1956-02-11","Dean Martin","Memories Are Made Of This"
"1956-02-12","1956-02-18","Kay Starr","The Rock And Roll Waltz"
"1956-02-19","1956-03-17","Nelson Riddle","Lisbon Antigua"
"1956-03-18","1956-04-14","Les Baxter","The Poor People Of Paris"
"1956-04-15","1956-06-09","Elvis Presley","Heartbreak Hotel"
"1956-06-10","1956-07-21","Gogi Grant","The Wayward Wind"
"1956-07-22","1956-07-28","Elvis Presley","I Want You, I Need You, I Love You"
"1956-07-29","1956-08-11","Platters","My Prayer"
"1956-08-12","1956-10-27","Elvis Presley","Don't Be Cruel / Hound Dog"
"1956-10-28","1956-12-01","Elvis Presley","Love Me Tender"
"1956-12-02","1957-02-02","Guy Mitchell","Singing the Blues"
"1957-02-03","1957-02-23","Elvis Presley","Too Much"
"1957-02-24","1957-03-23","Tab Hunter","Young Love"
"1957-03-24","1957-03-30","Buddy Knox","Party Doll"
"1957-03-31","1957-04-06","Perry Como","Round and Round"
"1957-04-07","1957-06-01","Elvis Presley","All Shook Up"
"1957-06-02","1957-07-06","Pat Boone","Love Letters in the Sand"
"1957-07-07","1957-08-24","Elvis Presley","(Let Me Be Your) Teddy Bear"
"1957-08-25","1957-09-07","Debbie Reynolds","Tammy"
"1957-09-08","1957-09-14","Paul Anka","Diana"
"1957-09-15","1957-09-21","Debbie Reynolds","Tammy"
"1957-09-22","1957-09-28","Buddy Holly and the Crickets","That'll Be the Day"
"1957-09-29","1957-10-12","Jimmie Rodgers","Honeycomb"
"1957-10-13","1957-10-19","Everly Brothers","Wake Up Little Susie"
"1957-10-20","1957-11-30","Elvis Presley","Jailhouse Rock"
"1957-12-01","1957-12-14","Sam Cooke","You Send Me"
"1957-12-15","1957-12-21","Elvis Presley","Jailhouse Rock"
"1957-12-22","1958-01-04","Pat Boone","April Love"
"1958-01-05","1958-02-08","Danny and the Juniors","At the Hop"
"1958-02-09","1958-03-15","Elvis Presley","Don't"
"1958-03-16","1958-04-19","Champs","Tequila"
"1958-04-20","1958-04-26","Platters","Twilight Time"
"1958-04-27","1958-05-10","David Seville","Witch Doctor"
"1958-05-11","1958-06-07","Everly Brothers","All I Have To Do Is Dream"
"1958-06-08","1958-07-19","Sheb Wooley","Purple People Eater"
"1958-07-20","1958-07-26","Coasters","Yakety Yak"
"1958-07-27","1958-08-02","Perez Prado","Patricia"
"1958-08-03","1958-08-16","Ricky Nelson","Poor Little Fool"
"1958-08-17","1958-08-23","Domenico Modugno","Volare (Nel Blu Dipinto Di Blu)"
"1958-08-24","1958-08-30","Elegants","Little Star"
"1958-08-31","1958-09-27","Domenico Modugno","Volare (Nel Blu Dipinto Di Blu)"
"1958-09-28","1958-11-08","Tommy Edwards","It's All In the Game"
"1958-11-09","1958-11-15","Conway Twitty","It's Only Make Believe"
"1958-11-16","1958-11-22","Kingston Trio","Tom Dooley"
"1958-11-23","1958-11-29","Conway Twitty","It's Only Make Believe"
"1958-11-30","1958-12-20","Teddy Bears","To Know Him, Is To Love Him"
"1958-12-21","1959-01-17","Chipmunks","The Chipmunk Song"
"1959-01-18","1959-02-07","Platters","Smoke Gets in Your Eyes"
"1959-02-08","1959-03-07","Lloyd Price","Stagger Lee"
"1959-03-08","1959-04-11","Frankie Avalon","Venus"
"1959-04-12","1959-05-09","Fleetwoods","Come Softly To Me"
"1959-05-10","1959-05-16","Dave 'Baby' Cortez","The Happy Organ"
"1959-05-17","1959-05-30","Wilbert Harrison","Kansas City"
"1959-05-31","1959-07-11","Johnny Horton","The Battle of New Orleans"
"1959-07-12","1959-08-08","Paul Anka","Lonely Boy"
"1959-08-09","1959-08-22","Elvis Presley","A Big Hunk O' Love"
"1959-08-23","1959-09-19","Browns","The Three Bells"
"1959-09-20","1959-10-03","Santo and Johnny","Sleep Walk"
"1959-10-04","1959-11-14","Bobby Darin","Mack the Knife"
"1959-11-15","1959-11-21","Fleetwoods","Mr. Blue"
"1959-11-22","1959-12-12","Bobby Darin","Mack the Knife"
"1959-12-13","1959-12-26","Guy Mitchell","Heartaches By the Number"
"1959-12-27","1960-01-02","Frankie Avalon","Why"
"1960-01-03","1960-01-16","Marty Robbins","El Paso"
"1960-01-17","1960-02-06","Johnny Preston","Running Bear"
"1960-02-07","1960-02-20","Mark Dinning","Teen Angel"
"1960-02-21","1960-04-23","Percy Faith","Theme From 'A Summer Place'"
"1960-04-24","1960-05-21","Elvis Presley","Stuck On You"
"1960-05-22","1960-06-25","Everly Brothers","Cathy's Clown"
"1960-06-26","1960-07-09","Connie Francis","Everybody's Somebody's Fool"
"1960-07-10","1960-07-16","Hollywood Argyles","Alley Oop"
"1960-07-17","1960-08-06","Brenda Lee","I'm Sorry"
"1960-08-07","1960-08-13","Brian Hyland","Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini"
"1960-08-14","1960-09-17","Elvis Presley","It's Now or Never"
"1960-09-18","1960-09-24","Chubby Checker","The Twist"
"1960-09-25","1960-10-08","Connie Francis","My Heart Has A Mind Of Its Own"
"1960-10-09","1960-10-15","Larry Verne","Mister Custer"
"1960-10-16","1960-10-22","Drifters","Save the Last Dance For Me"
"1960-10-23","1960-10-29","Brenda Lee","I Want to Be Wanted"
"1960-10-30","1960-11-12","Drifters","Save the Last Dance For Me"
"1960-11-13","1960-11-19","Ray Charles","Georgia On My Mind"
"1960-11-20","1960-11-26","Maurice Williams And the Zodiacs","Stay"
"1960-11-27","1961-01-07","Elvis Presley","Are You Lonesome Tonight"
"1961-01-08","1961-01-28","Bert Kaempfert","Wonderland by Night"
"1961-01-29","1961-02-11","Shirelles","Will You Love Me Tomorrow"
"1961-02-12","1961-02-25","Lawrence Welk","Calcutta"
"1961-02-26","1961-03-18","Chubby Checker","Pony Time"
"1961-03-19","1961-04-01","Elvis Presley","Surrender"
"1961-04-02","1961-04-22","Marcels","Blue Moon"
"1961-04-23","1961-05-20","Del Shannon","Runaway"
"1961-05-21","1961-05-27","Ernie K-Doe","Mother-In-Law"
"1961-05-28","1961-06-03","Ricky Nelson","Travelin' Man"
"1961-06-04","1961-06-10","Roy Orbison","Running Scared"
"1961-06-11","1961-06-17","Ricky Nelson","Travelin' Man"
"1961-06-18","1961-06-24","Pat Boone","Moody River"
"1961-06-25","1961-07-08","Gary U.S. Bonds","Quarter To Three"
"1961-07-09","1961-08-26","Bobby Lewis","Tossin' And Turnin'"
"1961-08-27","1961-09-02","Joe Dowell","Wooden Heart"
"1961-09-03","1961-09-16","Highwaymen","Michael"
"1961-09-17","1961-10-07","Bobby Vee","Take Good Care Of My Baby"
"1961-10-08","1961-10-21","Ray Charles","Hit the Road Jack"
"1961-10-22","1961-11-04","Dion","Runaround Sue"
"1961-11-05","1961-12-09","Jimmy Dean","Big Bad John"
"1961-12-10","1961-12-16","Marvelettes","Please Mr. Postman"
"1961-12-17","1962-01-06","Tokens","The Lion Sleeps Tonight"
"1962-01-07","1962-01-20","Chubby Checker","The Twist"
"1962-01-21","1962-02-10","Joey Dee and the Starliters","Peppermint Twist (Part 1)"
"1962-02-11","1962-03-03","Gene Chandler","Duke Of Earl"
"1962-03-04","1962-03-24","Bruce Channel","Hey! Baby"
"1962-03-25","1962-03-31","Connie Francis","Don't Break the Heart That Loves You"
"1962-04-01","1962-04-14","Shelley Fabares","Johnny Angel"
"1962-04-15","1962-04-28","Elvis Presley","Good Luck Charm"
"1962-04-29","1962-05-19","Shirelles","Soldier Boy"
"1962-05-20","1962-05-26","Mr. Acker Bilk","Stranger On the Shore"
"1962-05-27","1962-06-30","Ray Charles","I Can't Stop Loving You"
"1962-07-01","1962-07-07","David Rose","The Stripper"
"1962-07-08","1962-08-04","Bobby Vinton","Roses Are Red (My Love)"
"1962-08-05","1962-08-18","Neil Sedaka","Breaking Up Is Hard To Do"
"1962-08-19","1962-08-25","Little Eva","The Loco-Motion"
"1962-08-26","1962-09-08","Tommy Roe","Sheila"
"1962-09-09","1962-10-13","Four Seasons","Sherry"
"1962-10-14","1962-10-27","Bobby 'Boris' Pickett and the Crypt-Kickers","Monster Mash"
"1962-10-28","1962-11-10","Crystals","He's A Rebel"
"1962-11-11","1962-12-15","Four Seasons","Big Girls Don't Cry"
"1962-12-16","1963-01-05","Tornados","Telstar"
"1963-01-06","1963-01-19","Steve Lawrence","Go Away Little Girl"
"1963-01-20","1963-02-02","Rooftop Singers","Walk Right In"
"1963-02-03","1963-02-23","Paul and Paula","Hey Paula"
"1963-02-24","1963-03-16","Four Seasons","Walk Like A Man"
"1963-03-17","1963-03-23","Ruby and the Romantics","Our Day Will Come"
"1963-03-24","1963-04-20","Chiffons","He's So Fine"
"1963-04-21","1963-05-11","Little Peggy March","I Will Follow Him"
"1963-05-12","1963-05-25","Jimmy Soul","If You Wanna Be Happy"
"1963-05-26","1963-06-08","Lesley Gore","It's My Party"
"1963-06-09","1963-06-29","Kyu Sakamoto","Sukiyaki"
"1963-06-30","1963-07-13","Essex","Easier Said Than Done"
"1963-07-14","1963-07-27","Jan and Dean","Surf City"
"1963-07-28","1963-08-03","Tymes","So Much In Love"
"1963-08-04","1963-08-24","Stevie Wonder","Fingertips (Part 2)"
"1963-08-25","1963-09-14","Angels","My Boyfriend's Back"
"1963-09-15","1963-10-05","Bobby Vinton","Blue Velvet"
"1963-10-06","1963-11-09","Jimmy Glimer and the Fireballs","Sugar Shack"
"1963-11-10","1963-11-16","Nino Tempo and April Stevens","Deep Purple"
"1963-11-17","1963-11-30","Dale and Grace","I'm Leaving It Up To You"
"1963-12-01","1963-12-28","Singing Nun","Dominique"
"1963-12-29","1964-01-25","Bobby Vinton","There! I've Said It Again"
"1964-01-26","1964-03-14","Beatles","I Want To Hold Your Hand"
"1964-03-15","1964-03-28","Beatles","She Loves You"
"1964-03-29","1964-05-02","Beatles","Can't Buy Me Love"
"1964-05-03","1964-05-09","Louis Armstrong","Hello, Dolly!"
"1964-05-10","1964-05-23","Mary Wells","My Guy"
"1964-05-24","1964-05-30","Beatles","Love Me Do"
"1964-05-31","1964-06-20","Dixie Cups","Chapel of Love"
"1964-06-21","1964-06-27","Peter and Gordon","A World Without Love"
"1964-06-28","1964-07-11","Beach Boys","I Get Around"
"1964-07-12","1964-07-25","Four Seasons","Rag Doll"
"1964-07-26","1964-08-08","Beatles","A Hard Day's Night"
"1964-08-09","1964-08-15","Dean Martin","Everybody Loves Somebody"
"1964-08-16","1964-08-29","Supremes","Where Did Our Love Go"
"1964-08-30","1964-09-19","Animals","House of the Rising Sun"
"1964-09-20","1964-10-10","Roy Orbison","Oh! Pretty Woman"
"1964-10-11","1964-10-24","Manfred Mann","Do Wah Diddy Diddy"
"1964-10-25","1964-11-21","Supremes","Baby Love"
"1964-11-22","1964-11-28","Shangri-Las","Leader of the Pack"
"1964-11-29","1964-12-05","Lorne Greene","Ringo"
"1964-12-06","1964-12-12","Bobby Vinton","Mr. Lonely"
"1964-12-13","1964-12-19","Supremes","Come See About Me"
"1964-12-20","1965-01-09","Beatles","I Feel Fine"
"1965-01-10","1965-01-16","Supremes","Come See About Me"
"1965-01-17","1965-01-30","Petula Clark","Downtown"
"1965-01-31","1965-02-13","Righteous Brothers","You've Lost That Lovin' Feelin'"
"1965-02-14","1965-02-27","Gary Lewis and the Playboys","This Diamond Ring"
"1965-02-28","1965-03-06","Temptations","My Girl"
"1965-03-07","1965-03-20","Beatles","Eight Days A Week"
"1965-03-21","1965-04-03","Supremes","Stop! In the Name of Love"
"1965-04-04","1965-04-17","Freddie and the Dreamers","I'm Telling You Now"
"1965-04-18","1965-04-24","Wayne Fontana and the Mindbenders","Game of Love"
"1965-04-25","1965-05-15","Herman's Hermits","Mrs. Brown, You've Got A Lovely Daughter"
"1965-05-16","1965-05-22","Beatles","Ticket to Ride"
"1965-05-23","1965-06-05","Beach Boys","Help Me, Rhonda"
"1965-06-06","1965-06-12","Supremes","Back In My Arms Again"
"1965-06-13","1965-06-19","Four Tops","I Can't Help Myself (Sugar Pie, Honey Bunch)"
"1965-06-20","1965-06-26","Byrds","Mr. Tambourine Man"
