"DATE_ON","DATE_OFF","ARTIST","TITLE"
"1966-11-06","1966-11-12","Johnny Rivers","Poor Side of Town"
"1966-11-13","1966-11-26","Supremes","You Keep Me Hangin On"
"1966-11-27","1966-12-03","New Vaudeville Band","Winchester Cathedral"
"1966-12-04","1966-12-10","Beach Boys","Good Vibrations"
"1966-12-11","1966-12-24","New Vaudeville Band","Winchester Cathedral"
"1966-12-25","1967-02-11","Monkees","I'm A Believer"
"1967-02-12","1967-02-25","Buckinghams","Kind Of A Drag"
"1967-02-26","1967-03-04","Rolling Stones","Ruby Tuesday"
"1967-03-05","1967-03-11","Supremes","Love Is Here and Now You're Gone"
"1967-03-12","1967-03-18","Beatles","Penny Lane"
"1967-03-19","1967-04-08","Turtles","Happy Together"
"1967-04-09","1967-05-06","Frank and Nancy Sinatra","Somethin' Stupid"
"1967-05-07","1967-05-13","Supremes","The Happening"
"1967-05-14","1967-05-27","Young Rascals","Groovin'"
"1967-05-28","1967-06-10","Aretha Franklin","Respect"
"1967-06-11","1967-06-24","Young Rascals","Groovin'"
"1967-06-25","1967-07-22","Association","Windy"
"1967-07-23","1967-08-12","Doors","Light My Fire"
"1967-08-13","1967-08-19","Beatles","All You Need Is Love"
"1967-08-20","1967-09-16","Bobbie Gentry","Ode to Billie Joe"
"1967-09-17","1967-10-14","Box Tops","The Letter"
"1967-10-15","1967-11-18","Lulu","To Sir with Love"
"1967-11-19","1967-11-25","Strawberry Alarm Clock","Incense and Peppermints"
"1967-11-26","1967-12-23","Monkees","Daydream Believer"
"1967-12-24","1968-01-13","Beatles","Hello, Goodbye"
"1967-12-24","1968-01-13","Beatles","Hello, Goodbye"
"1968-01-14","1968-01-27","John Fred and His Playboy Band","Judy in Disguise (With Glasses)"
"1968-01-28","1968-02-03","Lemon Pipers","Green Tambourine"
"1968-02-04","1968-03-09","Paul Mauriat","Love Is Blue"
"1968-03-10","1968-04-06","Otis Redding","Sitting On the Dock Of the Bay"
"1968-04-07","1968-05-11","Bobby Goldsboro","Honey"
"1968-05-12","1968-05-25","Archie Bell and the Drells","Tighten Up"
"1968-05-26","1968-06-15","Simon and Garfunkel","Mrs. Robinson"
"1968-06-16","1968-07-13","Herb Alpert","This Guy's In Love With You"
"1968-07-14","1968-07-27","Hugh Masekela","Grazing In the Grass"
"1968-07-28","1968-08-10","Doors","Hello, I Love You"
"1968-08-11","1968-09-14","Rascals","People Got To Be Free"
"1968-09-15","1968-09-21","Jeannie C. Riley","Harper Valley P.T.A."
"1968-09-22","1968-11-23","Beatles","Hey Jude"
"1968-11-24","1968-12-07","Supremes","Love Child"
"1968-12-08","1969-01-25","Marvin Gaye","I Heard It Through the Grapevine"
"1969-01-26","1969-02-08","Tommy James and the Shondells","Crimson And Clover"
"1969-02-09","1969-03-08","Sly and the Family Stone","Everyday People"
"1969-03-09","1969-04-05","Tommy Roe","Dizzy"
"1969-04-06","1969-05-17","Fifth Dimension","Aquarius Let the Sunshine In"
"1969-05-18","1969-06-21","Beatles","Get Back"
"1969-06-22","1969-07-05","Henry Mancini","Love Theme From 'Romeo And Juliet'"
"1969-07-06","1969-08-16","Zager And Evans","In the Year 2525"
"1969-08-17","1969-09-13","Rolling Stones","Honky Tonk Women"
"1969-09-14","1969-10-11","Archies","Sugar, Sugar"
"1969-10-12","1969-10-25","Temptations","I Can't Get Next To You"
"1969-10-26","1969-11-01","Elvis Presley","Suspicious Minds"
"1969-11-02","1969-11-22","Fifth Dimension","Wedding Bell Blues"
"1969-11-23","1969-11-29","Beatles","Come Together / Something"
"1969-11-30","1969-12-13","Steam","Na Na Hey Hey Kiss Him Goodbye"
"1969-12-14","1969-12-20","Peter, Paul and Mary","Leaving on a Jet Plane"
"1969-12-21","1969-12-27","Supremes","Someday We'll Be Together"
"1969-12-28","1970-01-24","B.J. Thomas","Raindrops Keep Falling On My Head"
"1970-01-25","1970-01-31","Jackson Five","I Want You Back"
"1970-02-01","1970-02-07","Shocking Blue","Venus"
"1970-02-08","1970-02-21","Sly and the Family Stone","Thank You (Fallettin Me Be Mice Elf Agin)"
"1970-02-22","1970-04-04","Simon and Garfunkel","Bridge Over Troubled Water"
"1970-04-05","1970-04-18","Beatles","Let It Be"
"1970-04-19","1970-05-02","Jackson Five","ABC"
"1970-05-03","1970-05-23","Guess Who","American Woman"
"1970-05-24","1970-06-06","Ray Stevens","Everything Is Beautiful"
"1970-06-07","1970-06-20","Beatles","The Long and Winding Road"
"1970-06-21","1970-07-04","Jackson Five","The Love You Save"
"1970-07-05","1970-07-18","Three Dog Night","Mama Told Me (Not To Come)"
"1970-07-19","1970-08-15","Carpenters","(They Long To Be) Close To You"
"1970-08-16","1970-08-22","Bread","Make It With You"
"1970-08-23","1970-09-12","Edwin Starr","War"
"1970-09-13","1970-10-03","Diana Ross","Ain't No Mountain High Enough"
"1970-10-04","1970-10-10","Neil Diamond","Cracklin' Rosie"
"1970-10-11","1970-11-14","Jackson Five","I'll Be There"
"1970-11-15","1970-12-05","Partridge Family","I Think I Love You"
"1970-12-06","1970-12-19","Miracles","The Tears Of A Clown"
"1970-12-20","1971-01-16","George Harrison","My Sweet Lord"
"1971-01-17","1971-02-06","Tony Orlando and Dawn","Knock Three Times"
"1971-02-07","1971-03-13","Osmonds","One Bad Apple"
"1971-03-14","1971-03-27","Janis Joplin","Me and Bobby McGee"
"1971-03-28","1971-04-10","Temptations","Just My Imagination (Running Away With Me)"
"1971-04-11","1971-05-22","Three Dog Night","Joy to the World"
"1971-05-23","1971-06-05","Rolling Stones","Brown Sugar"
"1971-06-06","1971-06-12","Honey Cone","Want Ads"
"1971-06-13","1971-07-17","Carole King","It's Too Late / I Feel the Earth Move"
"1971-07-18","1971-07-24","Raiders","Indian Reservation (The Lament of the Cherokee Reservation Indian)"
"1971-07-25","1971-07-31","James Taylor","You've Got a Friend"
"1971-08-01","1971-08-28","Bee Gees","How Can You Mend a Broken Heart"
"1971-08-29","1971-09-04","Paul McCartney","Uncle Albert/Admiral Halsey"
"1971-09-05","1971-09-25","Donny Osmond","Go Away Little Girl"
"1971-09-26","1971-10-30","Rod Stewart","Maggie May"
"1971-10-31","1971-11-13","Cher","Gypsies, Tramps and Thieves"
"1971-11-14","1971-11-27","Issac Hayes","Theme From 'Shaft'"
"1971-11-28","1971-12-18","Sly and the Family Stone","Family Affair"
"1971-12-19","1972-01-08","Melanie","Brand New Key"
"1972-01-09","1972-02-05","Don McLean","American Pie"
"1972-02-06","1972-02-12","Al Green","Let's Stay Together"
"1972-02-13","1972-03-11","Nilsson","Without You"
"1972-03-12","1972-03-18","Neil Young","Heart Of Gold"
"1972-03-19","1972-04-08","America","A Horse With No Name"
"1972-04-09","1972-05-20","Roberta Flack","The First Time Ever I Saw Your Face"
"1972-05-21","1972-05-27","Chi-Lites","Oh Girl"
"1972-05-28","1972-06-03","Staple Singers","I'll Take You There"
"1972-06-04","1972-06-24","Sammy Davis Jr.","The Candy Man"
"1972-06-25","1972-07-01","Neil Diamond","Song Sung Blue"
"1972-07-02","1972-07-22","Bill Withers","Lean On Me"
"1972-07-23","1972-08-19","Gilbert O'Sullivan","Alone Again (Naturally)"
"1972-08-20","1972-08-26","Looking Glass","Brandy (You're A Fine Girl)"
"1972-08-27","1972-09-09","Gilbert O'Sullivan","Alone Again (Naturally)"
"1972-09-10","1972-09-16","Three Dog Night","Black and White"
"1972-09-17","1972-10-07","Mac Davis","Baby Don't Get Hooked On Me"
"1972-10-08","1972-10-14","Michael Jackson","Ben"
"1972-10-15","1972-10-28","Chuck Berry","My Ding-A-Ling"
"1972-10-29","1972-11-25","Johnny Nash","I Can See Clearly Now"
"1972-11-26","1972-12-02","Temptations","Papa Was A Rollin' Stone"
"1972-12-03","1972-12-09","Helen Reddy","I Am Woman"
"1972-12-10","1972-12-30","Billy Paul","Me And Mrs Jones"
"1972-12-31","1973-01-20","Carly Simon","You're So Vain"
"1973-01-21","1973-01-27","Stevie Wonder","Superstition"
"1973-01-28","1973-02-17","Elton John","Crocodile Rock"
"1973-02-18","1973-03-17","Roberta Flack","Killing Me Softly With His Song"
"1973-03-18","1973-03-24","O'Jays","Love Train"
"1973-03-25","1973-03-31","Roberta Flack","Killing Me Softly With His Song"
"1973-04-01","1973-04-14","Vicki Lawerence","The Night the Lights Went Out In Georgia"
"1973-04-15","1973-05-12","Tony Orlando and Dawn","Tie A Yellow Ribbon Round the Ole Oak Tree"
"1973-05-13","1973-05-19","Stevie Wonder","You Are the Sunshine of My Life"
"1973-05-20","1973-05-26","Edgar Winter","Frankenstein"
"1973-05-27","1973-06-23","Paul McCartney and Wings","My Love"
"1973-06-24","1973-06-30","George Harrison","Give Me Love (Give Me Peace On Earth)"
"1973-07-01","1973-07-14","Billy Preston","Will It Go Round In Circles"
"1973-07-15","1973-07-28","Jim Croce","Bad, Bad Leroy Brown"
"1973-07-29","1973-08-11","Maureen McGovern","The Morning After"
"1973-08-12","1973-08-18","Diana Ross","Touch Me In the Morning"
"1973-08-19","1973-09-01","Stories","Brother Louie"
"1973-09-02","1973-09-08","Marvin Gaye","Let's Get It On"
"1973-09-09","1973-09-15","Helen Reddy","Delta Dawn"
"1973-09-16","1973-09-22","Marvin Gaye","Let's Get It On"
"1973-09-23","1973-09-29","Grand Funk Railroad","We're an American Band"
"1973-09-30","1973-10-13","Cher","Half-Breed"
"1973-10-14","1973-10-20","Rolling Stones","Angie"
"1973-10-21","1973-11-03","Gladys Knight and the Pips","Midnight Train To Georgia"
"1973-11-04","1973-11-17","Eddie Kendricks","Keep On Truckin'"
"1973-11-18","1973-11-24","Ringo Starr","Photograph"
"1973-11-25","1973-12-08","Carpenters","Top Of the World"
"1973-12-09","1973-12-22","Charlie Rich","The Most Beautiful Girl"
"1973-12-23","1974-01-05","Jim Croce","Time In A Bottle"
"1974-01-06","1974-01-12","Steve Miller Band","The Joker"
"1974-01-13","1974-01-19","Al Wilson","Show and Tell"
"1974-01-20","1974-01-26","Ringo Starr","You're Sixteen"
"1974-01-27","1974-02-02","Barbra Streisand","The Way We Were"
"1974-02-03","1974-02-09","Love Unlimited Orchestra","Love's Theme"
"1974-02-10","1974-02-23","Barbra Streisand","The Way We Were"
"1974-02-24","1974-03-16","Terry Jacks","Seasons In the Sun"
"1974-03-17","1974-03-23","Cher","Dark Lady"
"1974-03-24","1974-03-30","John Denver","Sunshine on My Shoulders"
"1974-03-31","1974-04-06","Blue Swede","Hooked On A Feeling"
"1974-04-07","1974-04-13","Elton John","Bennie And the Jets"
"1974-04-14","1974-04-27","MFSB","TSOP (The Sound Of Philadelphia)"
"1974-04-28","1974-05-11","Grand Funk Railroad","The Loco-Motion"
"1974-05-12","1974-06-01","Ray Stevens","The Streak"
"1974-06-02","1974-06-08","Paul McCartney and Wings","Band on the Run"
"1974-06-09","1974-06-22","Bo Donaldson and the Heywoods","Billy Don't Be A Hero"
"1974-06-23","1974-06-29","Gordon Lightfoot","Sundown"
"1974-06-30","1974-07-06","Hues Corporation","Rock the Boat"
"1974-07-07","1974-07-20","George McCrae","Rock Your Baby"
"1974-07-21","1974-08-03","John Denver","Annie's Song"
"1974-08-04","1974-08-10","Roberta Flack","Feel Like Makin Love"
"1974-08-11","1974-08-17","Paper Lace","The Night Chicago Died"
"1974-08-18","1974-09-07","Paul Anka with Odia Coates","(You're) Having My Baby"
"1974-09-08","1974-09-14","Eric Clapton","I Shot the Sheriff"
"1974-09-15","1974-09-21","Barry White","Can't Get Enough Of Your Love, Babe"
"1974-09-22","1974-09-28","Andy Kim","Rock Me Gently"
"1974-09-29","1974-10-12","Olivia Newton-John","I Honestly Love You"
"1974-10-13","1974-10-19","Billy Preston","Nothing From Nothing"
"1974-10-20","1974-10-26","Dionne Warwick and the Spinners","Then Came You"
"1974-10-27","1974-11-02","Stevie Wonder","You Haven't Done Nothin'"
"1974-11-03","1974-11-09","Bachman Turner Overdrive","You Ain't Seen Nothing Yet"
"1974-11-10","1974-11-16","John Lennon","Whatever Gets You Thru the Night"
"1974-11-17","1974-11-30","Billy Swan","I Can Help"
"1974-12-01","1974-12-14","Carl Douglas","Kung Fu Fighting"
"1974-12-15","1974-12-21","Harry Chapin","Cat's In the Cradle"
"1974-12-22","1974-12-28","Helen Reddy","Angie Baby"
"1974-12-29","1975-01-11","Elton John","Lucy In the Sky With Diamonds"
"1975-01-12","1975-01-18","Barry Manilow","Mandy"
"1975-01-19","1975-01-25","Carpenters","Please Mr. Postman"
"1975-01-26","1975-02-01","Neil Sedaka","Laughter In the Rain"
"1975-02-02","1975-02-08","Ohio Players","Fire"
"1975-02-09","1975-02-15","Linda Ronstadt","You're No Good"
"1975-02-16","1975-02-22","Average White Band","Pick Up the Pieces"
"1975-02-23","1975-03-01","Eagles","Best Of My Love"
"1975-03-02","1975-03-08","Olivia Newton-John","Have You Never Been Mellow"
"1975-03-09","1975-03-15","Doobie Brothers","Black Water"
"1975-03-16","1975-03-22","Frankie Valli","My Eyes Adored You"
"1975-03-23","1975-03-29","Labelle","Lady Marmalade"
"1975-03-30","1975-04-05","Minnie Riperton","Lovin' You"
"1975-04-06","1975-04-19","Elton John","Philadelphia Freedom"
"1975-04-20","1975-04-26","B.J. Thomas","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song"
"1975-04-27","1975-05-17","Tony Orlando and Dawn","He Don't Love You (Like I Love You)"
"1975-05-18","1975-05-24","Earth, Wind and Fire","Shining Star"
"1975-05-25","1975-05-31","Freddy Fender","Before the Next Teardrop Falls"
"1975-06-01","1975-06-07","John Denver","Thank God I'm A Country Boy"
"1975-06-08","1975-06-14","America","Sister Golden Hair"
"1975-06-15","1975-07-12","Captain and Tennille","Love Will Keep Us Together"
"1975-07-13","1975-07-19","Paul McCartney and Wings","Listen to What the Man Said"
"1975-07-20","1975-07-26","Van McCoy","The Hustle"
"1975-07-27","1975-08-02","Eagles","One Of These Nights"
"1975-08-03","1975-08-16","Bee Gees","Jive Talkin'"
"1975-08-17","1975-08-23","Hamilton, Joe Frank and Reynolds","Fallin' In Love"
"1975-08-24","1975-08-30","KC and the Sunshine Band","Get Down Tonight"
"1975-08-31","1975-09-13","Glen Campbell","Rhinestone Cowboy"
"1975-09-14","1975-09-20","David Bowie","Fame"
"1975-09-21","1975-09-27","John Denver","I'm Sorry"
"1975-09-28","1975-10-04","David Bowie","Fame"
"1975-10-05","1975-10-25","Neil Sedaka","Bad Blood"
"1975-10-26","1975-11-15","Elton John","Island Girl"
"1975-11-16","1975-11-22","KC and the Sunshine Band","That's the Way (I Like It)"
"1975-11-23","1975-12-13","Silver Convention","Fly Robin Fly"
"1975-12-14","1975-12-20","KC and the Sunshine Band","That's the Way (I Like It)"
"1975-12-21","1975-12-27","Staple Singers","Let's Do It Again"
"1975-12-28","1976-01-03","Bay City Rollers","Saturday Night"
"1976-01-04","1976-01-10","C.W. McCall","Convoy"
"1976-01-11","1976-01-17","Barry Manilow","I Write the Songs"
"1976-01-18","1976-01-24","Diana Ross","Theme From Mahogany (Do You Know Where You're Going To)"
"1976-01-25","1976-01-31","Ohio Players","Love Rollercoaster"
"1976-02-01","1976-02-21","Paul Simon","50 Ways To Leave Your Lover"
"1976-02-22","1976-02-28","Rhythm Heritage","Theme From S.W.A.T"
"1976-02-29","1976-03-06","Miracles","Love Machine Part 1"
"1976-03-07","1976-03-27","Four Seasons","December, 1963 (Oh What A Night)"
"1976-03-28","1976-04-24","Johnnie Taylor","Disco Lady"
"1976-04-25","1976-05-01","Bellamy Brothers","Let Your Love Flow"
"1976-05-02","1976-05-08","John Sebastian","Welcome Back"
"1976-05-09","1976-05-15","Sylvers","Boogie Fever"
"1976-05-16","1976-05-22","Paul McCartney and Wings","Silly Love Songs"
"1976-05-23","1976-06-05","Diana Ross","Love Hangover"
"1976-06-06","1976-07-03","Paul McCartney and Wings","Silly Love Songs"
"1976-07-04","1976-07-17","Starland Vocal Band","Afternoon Delight"
"1976-07-18","1976-07-31","Manhattans","Kiss And Say Goodbye"
"1976-08-01","1976-08-28","Elton John and Kiki Dee","Don't Go Breaking My Heart"
"1976-08-29","1976-09-04","Bee Gees","You Should Be Dancing"
"1976-09-05","1976-09-11","KC and the Sunshine Band","(Shake, Shake, Shake) Shake Your Booty"
"1976-09-12","1976-10-02","Wild Cherry","Play That Funky Music"
"1976-10-03","1976-10-09","Walter Murphy","A Fifth of Beethoven"
"1976-10-10","1976-10-16","Rick Dees and His Cast Of Idiots","Disco Duck (Part 1)"
"1976-10-17","1976-10-30","Chicago","If You Leave Me Now"
"1976-10-31","1976-11-06","Steve Miller Band","Rock'n Me"
"1976-11-07","1977-01-01","Rod Stewart","Tonight's the Night (Gonna Be Alright)"
"1977-01-02","1977-01-08","Marilyn McCoo and Billy Davis Jr.","You Don't Have to be a Star"
"1977-01-09","1977-01-15","Leo Sayer","You Make Me Feel Like Dancing"
"1977-01-16","1977-01-22","Stevie Wonder","I Wish"
"1977-01-23","1977-01-29","Rose Royce","Car Wash"
"1977-01-30","1977-02-12","Mary MacGregor","Torn Between Two Lovers"
"1977-02-13","1977-02-19","Manfred Mann's Earth Band","Blinded By the Light"
"1977-02-20","1977-02-26","Eagles","New Kid In Town"
"1977-02-27","1977-03-19","Barbra Streisand","Love Theme From 'A Star Is Born' (Evergreen)"
"1977-03-20","1977-04-02","Hall and Oates","Rich Girl"
"1977-04-03","1977-04-09","ABBA","Dancing Queen"
"1977-04-10","1977-04-16","David Soul","Don't Give Up On Us"
"1977-04-17","1977-04-23","Thelma Houston","Don't Leave Me This Way"
"1977-04-24","1977-04-30","Glen Campbell","Southern Nights"
"1977-05-01","1977-05-07","Eagles","Hotel California"
"1977-05-08","1977-05-14","Leo Sayer","When I Need You"
"1977-05-15","1977-06-04","Stevie Wonder","Sir Duke"
"1977-06-05","1977-06-11","KC and the Sunshine Band","I'm Your Boogie Man"
"1977-06-12","1977-06-18","Fleetwood Mac","Dreams"
"1977-06-19","1977-06-25","Marvin Gaye","Got To Give It Up Part 1"
"1977-06-26","1977-07-02","Bill Conti","Gonna Fly Now (Theme from Rocky)"
"1977-07-03","1977-07-09","Alan O'Day","Undercover Angel"
"1977-07-10","1977-07-16","Shaun Cassidy","Da Doo Ron Ron"
"1977-07-17","1977-07-23","Barry Manilow","Looks Like We Made It"
"1977-07-24","1977-08-13","Andy Gibb","I Just Want to Be Your Everything"
"1977-08-14","1977-09-10","Emotions","Best Of My Love"
"1977-09-11","1977-09-17","Andy Gibb","I Just Want to Be Your Everything"
"1977-09-18","1977-09-24","Emotions","Best Of My Love"
"1977-09-25","1977-10-08","Meco","Star Wars Theme"
"1977-10-09","1977-12-17","Debby Boone","You Light Up My Life"
"1977-12-18","1978-01-07","Bee Gees","How Deep Is Your Love"
"1978-01-08","1978-01-28","Player","Baby Come Back"
"1978-01-29","1978-02-25","Bee Gees","Stayin' Alive"
"1978-02-26","1978-03-11","Andy Gibb","(Love Is) Thicker Than Water"
"1978-03-12","1978-05-06","Bee Gees","Night Fever"
"1978-05-07","1978-05-13","Yvonne Elliman","If I Can't Have You"
"1978-05-14","1978-05-27","Paul McCartney and Wings","With A Little Luck"
"1978-05-28","1978-06-03","Johnny Mathis and Deniece Williams","Too Much, Too Little, Too Late"
"1978-06-04","1978-06-10","John Travolta and Olivia Newton-John","You're the One That I Want"
"1978-06-11","1978-07-29","Andy Gibb","Shadow Dancing"
"1978-07-30","1978-08-05","Rolling Stones","Miss You"
"1978-08-06","1978-08-19","Commodores","Three Times A Lady"
"1978-08-20","1978-09-02","Frankie Valli","Grease"
"1978-09-03","1978-09-23","Taste Of Honey","Boogie Oogie Oogie"
"1978-09-24","1978-10-21","Exile","Kiss You All Over"
"1978-10-22","1978-10-28","Nick Gilder","Hot Child In the City"
"1978-10-29","1978-11-04","Anne Murray","You Needed Me"
"1978-11-05","1978-11-25","Donna Summer","MacArthur Park"
"1978-11-26","1978-12-02","Barbra Streisand and Neil Diamond","You Don't Bring Me Flowers"
"1978-12-03","1978-12-09","Chic","Le Freak"
"1978-12-10","1978-12-16","Barbra Streisand and Neil Diamond","You Don't Bring Me Flowers"
"1978-12-17","1978-12-30","Chic","Le Freak"
"1978-12-31","1979-01-13","Bee Gees","Too Much Heaven"
"1979-01-14","1979-02-03","Chic","Le Freak"
"1979-02-04","1979-03-03","Rod Stewart","Da Ya Think I'm Sexy"
"1979-03-04","1979-03-17","Gloria Gaynor","I Will Survive"
"1979-03-18","1979-03-31","Bee Gees","Tragedy"
"1979-04-01","1979-04-07","Gloria Gaynor","I Will Survive"
"1979-04-08","1979-04-14","Doobie Brothers","What a Fool Believes"
"1979-04-15","1979-04-21","Amii Stewart","Knock on Wood"
"1979-04-22","1979-04-28","Blondie","Heart of Glass"
"1979-04-29","1979-05-26","Peaches and Herb","Reunited"
"1979-05-27","1979-06-02","Donna Summer","Hot Stuff"
"1979-06-03","1979-06-09","Bee Gees","Love You Inside Out"
"1979-06-10","1979-06-23","Donna Summer","Hot Stuff"
"1979-06-24","1979-07-07","Anita Ward","Ring My Bell"
"1979-07-08","1979-08-11","Donna Summer","Bad Girls"
"1979-08-12","1979-08-18","Chic","Good Times"
"1979-08-19","1979-09-29","Knack","My Sharona"
"1979-09-30","1979-10-06","Robert John","Sad Eyes"
"1979-10-07","1979-10-13","Michael Jackson","Don't Stop 'Til You Get Enough"
"1979-10-14","1979-10-27","Herb Alpert","Rise"
"1979-10-28","1979-11-03","M","Pop Musik"
"1979-11-04","1979-11-10","Eagles","Heartache Tonight"
"1979-11-11","1979-11-17","Commodores","Still"
"1979-11-18","1979-12-01","Barbra Streisand and Donna Summer","No More Tears (Enough Is Enough)"
"1979-12-02","1979-12-15","Styx","Babe"
"1979-12-16","1979-12-29","Rupert Holmes","Escape (Pina Colada Song)"
"1979-12-30","1980-01-05","KC and the Sunshine Band","Please Don't Go"
"1980-01-06","1980-01-12","Rupert Holmes","Escape (Pina Colada Song)"
"1980-01-13","1980-02-09","Michael Jackson","Rock With You"
"1980-02-10","1980-02-16","Captain and Tennille","Do That to Me One More Time"
"1980-02-17","1980-03-15","Queen","Crazy Little Thing Called Love"
"1980-03-16","1980-04-12","Pink Floyd","Another Brick in the Wall (Part 2)"
"1980-04-13","1980-05-24","Blondie","Call Me"
"1980-05-25","1980-06-21","Lipps, Inc.","Funkytown"
"1980-06-22","1980-07-12","Paul McCartney and Wings","Coming Up (Live at Glasgow)"
"1980-07-13","1980-07-26","Billy Joel","It's Still Rock and Roll to Me"
"1980-07-27","1980-08-23","Olivia Newton-John","Magic"
"1980-08-24","1980-08-30","Christopher Cross","Sailing"
"1980-08-31","1980-09-27","Diana Ross","Upside Down"
"1980-09-28","1980-10-18","Queen","Another One Bites the Dust"
"1980-10-19","1980-11-08","Barbra Streisand","Woman in Love"
"1980-11-09","1980-12-20","Kenny Rogers","Lady"
"1980-12-21","1981-01-24","John Lennon","(Just Like) Starting Over"
"1981-01-25","1981-01-31","Blondie","The Tide Is High"
"1981-02-01","1981-02-14","Kool and the Gang","Celebration"
"1981-02-15","1981-02-21","Dolly Parton","9 to 5"
"1981-02-22","1981-03-07","Eddie Rabbitt","I Love a Rainy Night"
"1981-03-08","1981-03-14","Dolly Parton","9 to 5"
"1981-03-15","1981-03-21","REO Speedwagon","Keep on Loving You"
"1981-03-22","1981-04-04","Blondie","Rapture"
"1981-04-05","1981-04-25","Hall and Oates","Kiss on My List"
"1981-04-26","1981-05-09","Sheena Easton","Morning Train (Nine to Five)"
"1981-05-10","1981-06-13","Kim Carnes","Bette Davis Eyes"
"1981-06-14","1981-06-20","Stars On 45","Stars On 45 Medley"
"1981-06-21","1981-07-18","Kim Carnes","Bette Davis Eyes"
"1981-07-19","1981-07-25","Air Supply","The One That You Love"
"1981-07-26","1981-08-08","Rick Springfield","Jessie's Girl"
"1981-08-09","1981-10-10","Diana Ross and Lionel Richie","Endless Love"
"1981-10-11","1981-10-31","Christopher Cross","Arthur's Theme (Best That You Can Do)"
"1981-11-01","1981-11-14","Hall and Oates","Private Eyes"
"1981-11-15","1982-01-23","Olivia Newton-John","Physical"
"1982-01-24","1982-01-30","Hall and Oates","I Can't Go For That (No Can Do)"
"1982-01-31","1982-03-13","J. Geils Band","Centerfold"
"1982-03-14","1982-05-01","Joan Jett and the Blackhearts","I Love Rock 'n Roll"
"1982-05-02","1982-05-08","Vangelis","Chariots of Fire"
"1982-05-09","1982-06-26","Paul McCartney and Stevie Wonder","Ebony and Ivory"
"1982-06-27","1982-07-17","Human League","Don't You Want Me"
"1982-07-18","1982-08-28","Survivor","Eye of the Tiger"
"1982-08-29","1982-09-04","Steve Miller Band","Abracadabra"
"1982-09-05","1982-09-18","Chicago","Hard to Say I'm Sorry"
"1982-09-19","1982-09-25","Steve Miller Band","Abracadabra"
"1982-09-26","1982-10-23","John Cougar","Jack and Diane"
"1982-10-24","1982-10-30","Men at Work","Who Can It Be Now"
"1982-10-31","1982-11-20","Joe Cocker and Jennifer Warnes","Up Where We Belong"
"1982-11-21","1982-12-04","Lionel Richie","Truly"
"1982-12-05","1982-12-11","Toni Basil","Mickey"
"1982-12-12","1983-01-08","Hall and Oates","Maneater"
"1983-01-09","1983-01-29","Men at Work","Down Under"
"1983-01-30","1983-02-05","Toto","Africa"
"1983-02-06","1983-02-12","Men at Work","Down Under"
"1983-02-13","1983-02-26","Patti Austin and James Ingram","Baby, Come to Me"
"1983-02-27","1983-04-16","Michael Jackson","Billie Jean"
"1983-04-17","1983-04-23","Dexys Midnight Runners","Come on Eileen"
"1983-04-24","1983-05-14","Michael Jackson","Beat It"
"1983-05-15","1983-05-21","David Bowie","Let's Dance"
"1983-05-22","1983-07-02","Irene Cara","Flashdance... What a Feeling"
"1983-07-03","1983-08-27","Police","Every Breath You Take"
"1983-08-28","1983-09-03","Eurythmics","Sweet Dreams (Are Made of This)"
"1983-09-04","1983-09-17","Michael Sembello","Maniac"
"1983-09-18","1983-09-24","Billy Joel","Tell Her About It"
"1983-09-25","1983-10-22","Bonnie Tyler","Total Eclipse of the Heart"
"1983-10-23","1983-11-05","Kenny Rogers and Dolly Parton","Islands in the Stream"
"1983-11-06","1983-12-03","Lionel Richie","All Night Long (All Night)"
"1983-12-04","1984-01-14","Paul McCartney and Michael Jackson","Say, Say, Say"
"1984-01-15","1984-01-28","Yes","Owner of a Lonely Heart"
"1984-01-29","1984-02-18","Culture Club","Karma Chameleon"
"1984-02-19","1984-03-24","Van Halen","Jump"
"1984-03-25","1984-04-14","Kenny Loggins","Footloose"
"1984-04-15","1984-05-05","Phil Collins","Against All Odds (Take a Look at Me Now)"
"1984-05-06","1984-05-19","Lionel Richie","Hello"
"1984-05-20","1984-06-02","Deniece Williams","Let's Hear It for the Boy"
"1984-06-03","1984-06-16","Cyndi Lauper","Time After Time"
"1984-06-17","1984-06-30","Duran Duran","The Reflex"
"1984-07-01","1984-08-04","Prince","When Doves Cry"
"1984-08-05","1984-08-25","Ray Parker Jr.","Ghostbusters"
"1984-08-26","1984-09-15","Tina Turner","What's Love Got to Do With It"
"1984-09-16","1984-09-22","John Waite","Missing You"
"1984-09-23","1984-10-06","Prince","Let's Go Crazy"
"1984-10-07","1984-10-27","Stevie Wonder","I Just Called to Say I Love You"
"1984-10-28","1984-11-10","Billy Ocean","Caribbean Queen"
"1984-11-11","1984-12-01","Wham!","Wake Me Up Before You Go-Go"
"1984-12-02","1984-12-15","Hall and Oates","Out of Touch"
"1984-12-16","1985-01-26","Madonna","Like a Virgin"
"1985-01-27","1985-02-09","Foreigner","I Want to Know What Love Is"
"1985-02-10","1985-03-02","Wham!","Careless Whisper"
"1985-03-03","1985-03-23","REO Speedwagon","Can't Fight This Feeling"
"1985-03-24","1985-04-06","Phil Collins","One More Night"
"1985-04-07","1985-05-04","USA for Africa","We Are the World"
